Cože?,Arch
Vrána pikle zlobí ,NocniDuha
Včera jsem se na to...,Nedostudovany
Nekdo je tu pekny rypal😉,PatricieBohony
"Dnes ale nebyla 3 slova, nikde jsem si jich nevšimla .",Buresova_M
To jsem to ale zvojtil.,DamianVCechov
Damián a jeho poradní tým jsou šikulky❤️,PolulinaP
🤨,PatricieBohony
Včera jsem vyhrál! Trvám na opakování ceremoniálu!,Arch
👍,Zu
🌷🪻🌼,PolulinaP
Děláš to báječně 😘😏,klara_kafkova
"Fantasticka tabulka, jako obvykle",Zu
Proč????,PatricieBohony
Zapomněl 🙈,Arch
"Jela jsem podle slov na středu, ale začala slovem chaos😇",PolulinaP
Haluz,JStudynka
a já místo toho dal BĚLIT...,michal_recz
Damiane jste nejvíc nejlepší!,Ivar
Ne vše co dělá rachot v křoví u cesty se na ni skutečně objeví (africká moudrost) 🙂,PolulinaP
"Tak se jmenuje ta místní pyromanka, baba jedna, dělá neplechu všude. 🤦🏻‍♀️",NocniDuha
Grrr,PatricieBohony
🥳,Zu
Úplně jsem vyhořel 🫤,JStudynka
Banánek v čokoládě,Ivar
"Názor, nádor, nábor… 🙈",Arch
"chyběl mi řádek, odpor, zápor... už by to vyšlo :-)",Buresova_M
Z hlav se setnou ty co přeční. Zato průměrní jsou věční. (Jiří Žáček) ,PolulinaP
"Marshmallow, růžovo-bílé",Ivar
Tvl🤨,PatricieBohony
"Výborná čevená paprika, mňam.",Ivar
Zase topím.,Ivar
"Je smutné utěšovat se myšlenkou, že jiní jsou na tom hůř. (Oscar Wilde).  Ale poteší to 😇 (Polulinky dodatek) ",PolulinaP
Proti času protestuji!,JStudynka
Má paměť není dostatečně integrovaná. Čas je přibližný.,PetrMaurer
"Zapomněl jsem PIN, ale už ho vím.",Ivar
"Matouš 5:3-12 BKR Blahoslavení chudí duchem, nebo jejich jest království nebeské.",PolulinaP
Jak příznačné pro mě. Začínat svým jménem a končit téměř příjmením 😅,klara_kafkova
Já blbec! 🙈,Arch
Ja mam pondeli!🤦‍♀️,PatricieBohony
Čas si opět nepamatuji přesně.,PetrMaurer
Cukrbliky,Arch
Pokus číslo 2,DonPandero
To je ale krásné české slovo.,NocniDuha
"🏮jsem ještě neměla, snad mi ji nikdo nevyfoukne 😁",freakyblonde
To je jako krámek bez K? 🤣🤔,NocniDuha
🦾,DonPandero
"Marnost nad marnost, nic než marnost (Šalamoun) ",PolulinaP
"Prosím, já tam chci🙏🤣",LucieKpax
"Čím výš vzlétneme tím menší se zdáme těm, kteří nedovedou létat (Friedrich Nietzsche) ",PolulinaP
Kompliment,Arch
Dík,Ivar
"Člověk, na nějž nadávají blbci, je hoden důvěry. (Jean Paul Sartre) ",PolulinaP
Dík,Ivar
"Když dospěla lenost k mozku, už je pozdě na rákosku. Jiří Žáček 😎",PolulinaP
"Nešlo hádat jinak, bo jsem levák 😎",klara_kafkova
Krátký kompliment 😇,NocniDuha
Díky,Ivar
Fňuk,PolulinaP
"Koukám, že včerejší výsledek jsem nezapsala 🙈",freakyblonde
Už zase zapomněl 🙈🙈🙈,Arch
"Čas nepochybně mám, ku příkladu 4 min. Slovo už si nepamatuji. (Nedostatečná integrita paměti.)",PetrMaurer
Toto je správná odpověď. Ta s 35s neplatí. Jsem dneska nějaká Roztržitá.,Roztržitá
"Zitra ne v planu cmunda, tak se snazte!🙂",PatricieBohony
😊,Arch
Některé skvrny nejde vyčistit bez porušení podstaty látky. (Bohumil Hrabal) ,PolulinaP
Zadal ,IMinhova
🥳,Zu
"Chjo, jsem se nesoustředila 🤦‍♀️",freakyblonde
"Já chci medaili🥇Hezký den, Damí",LucieKpax
Tak to se úplně nepovedlo 🙄🤪,PolulinaP
😊,Arch
Excelovské tabulky jsou tak vzrušující!,Zu
Fňuk 😓,Roztržitá
😊,Arch
"Lucerna je moje, Moje, MOJE☝️💪",PolulinaP
ja pierdole ,DonPandero
Incredible me!,Zu
"„Však lépe v mylné naději sníti, před sebou čirou temnotu, nežli budoucnost odhaliti, strašlivou poznati jistotu!“  (K. J. Erben, Štědrý den, Kytice) ",PolulinaP
Čím dál tím líp 🤦🏻‍♀️,Roztržitá
Budoucnost patří aluminiu! ,NocniDuha
Snaha byla 😁,Roztržitá
"Ale jen tak, na tajňačku.",Ivar
Kozák košík komik. Shit. ,Zu
Good job! A jak je to barevné 🤩,JStudynka
Peníze. Spousta peněz pro tebe. 👍,Arch
😜,freakyblonde
"""Je těžké být debilem, protože konkurence je obrovská"" Miroslav Horníček",PolulinaP
"Co, proč a jak - zelená fajfka ve výsledné tabulce??",Ivar
Komik mi šel mnohem líp… 🤷‍♂️,Arch
Ráda píšu poznámky,Zu
"""Lepší pivo v žaludku, než voda na plicích"" Jára Cimrman",PolulinaP
Nezapomněl! Třikrát sláva!,Arch
Hrozná slova,Ivar
Jsem stručná🤣,LucieKpax
Ostuda všech ostud,Roztržitá
Správné je pořadí podle počtu řádků.,PetrMaurer
Středeční výzva sucks,Zu
😘,Roztržitá
"Bohůšu, čurák sa neříká. Vždyť ja vím.",Ivar
Asi bych měla chodit častěji a nespoléhat jen na školní obědy 😅,klara_kafkova
Tak snad to cinkne,HrubantJan
🇨🇿➕️,Zu
Hanba mě fackuje!,PolulinaP
Lečo léčí i na druhém řádku.,Ivar
3. řádek !,PetrMaurer
"Amiane, Amiane, děkuji vám,svatý Damiáne! ",Zu
