remove,,,,,
🥇,<a title='Počet bodů: 424' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=348891062&format=interactive'>freakyblonde</a>,00:10,2,,00:22
🥈,<a title='Počet bodů: 262' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=1136917751&format=interactive'>Ivar</a>,00:08,3,,00:32
🥉,<a title='Počet bodů: 205' class='thumb' id='Duha' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=365431459&format=interactive'>NocniDuha</a>,00:15,3,,00:39
🥔,<a title='Počet bodů: 351' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=1008370306&format=interactive'>PECHanele</a>,00:23,3,,00:47
🐢,<a title='Počet bodů: 237' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=65114517&format=interactive'>Buresova_M</a>,00:14,4,,00:50
6.,<a title='Počet bodů: 280' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=1814671198&format=interactive'>ParmaTomas</a>,00:26,5,,01:14
7.,<a title='Počet bodů: 233' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=264702333&format=interactive'>klara_kafkova</a>,00:46,4,,01:22
8.,<a title='Počet bodů: 215' class='thumb' id='Damian' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=2042644164&format=interactive'>DamianVCechov</a>,00:37,5,,01:25
9.,<a title='Počet bodů: 143' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=781708751&format=interactive'>HrubantJan</a>,00:52,4,,01:28
10.,<a title='Počet bodů: 67' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=606657233&format=interactive'>KeckyUstrelene</a>,00:51,5,,01:39
11.,<a title='Počet bodů: 263' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=1134533210&format=interactive'>PolulinaP</a>,01:10,4,,01:46
12.,<a title='Počet bodů: 324' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=1866860699&format=interactive'>TonyV</a>,00:48,6,,01:48
13.,<a title='Počet bodů: 69' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=375007151&format=interactive'>drQuarz</a>,01:01,5,,01:49
14.,<a title='Počet bodů: 45' class='thumb' href='https://docs.google.com/spreadsheets/d/e/2PACX-1vSmOkJ8EwsJSzzNkeTEtSp-KVMNp0xl91Ed3q2rBEG3sV-3ITO20Nmu-67YUro2suStcMYr9YKWPO1L/pubchart?oid=1732884733&format=interactive'>PajaVonDr</a>,01:22,4,,01:58
